case_id,model,uses_nonthermal_error,success_rate,mean_acquisition_time_s,median_acquisition_time_s,p95_acquisition_time_s,mean_initial_error_urad,p95_initial_error_urad,mean_thermal_residual_urad,p95_thermal_residual_urad,mean_nonthermal_error_urad,p95_nonthermal_error_urad,mean_uncorrected_total_error_urad,p95_uncorrected_total_error_urad
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,bcase_correction_with_nonthermal,True,0.9667774086378738,98.19828178694158,54.0,401.8,568.4394393793601,1296.1222321800662,11.124837235837594,27.972368430616765,566.660560164752,1295.9936119390386,930.1188363142558,1407.7125100908327
10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,no_correction,False,1.0,5.800000000000001,5.800000000000001,5.800000000000001,161.97748351234753,163.41700608472053,161.97748351234753,163.41700608472053,0.0,0.0,161.97748351234753,163.41700608472053
10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,static_bias_correction,False,1.0,0.09999999999999998,0.1,0.1,3.5691155506057894,6.937557618929922,3.5691155506057894,6.937557618929922,0.0,0.0,161.97748351234753,163.41700608472053
10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,bcase_correction,False,1.0,0.09999999999999998,0.1,0.1,3.941673308078271,6.7238421868045215,3.941673308078271,6.7238421868045215,0.0,0.0,161.97748351234753,163.41700608472053
10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,thermal_truth_correction,False,1.0,0.09999999999999998,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,161.97748351234753,163.41700608472053
10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,thermal_plus_nonthermal_no_correction,True,0.9767441860465116,24.698639455782313,15.55,76.0,306.3868672609976,585.0288603254583,161.97748351234753,163.41700608472053,285.8091015600168,486.78624485592786,306.3868672609976,585.0288603254583
10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,bcase_correction_with_nonthermal,True,0.9833887043189369,20.094594594594593,16.9,55.150000000000006,285.8090230218401,485.7228728345032,3.941673308078271,6.7238421868045215,285.8091015600168,486.78624485592786,306.3868672609976,585.0288603254583
11_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_Black,no_correction,False,0.9169435215946844,16.505434782608695,18.400000000000002,46.7,244.73849932575348,417.54587085160534,244.73849932575348,417.54587085160534,0.0,0.0,244.73849932575348,417.54587085160534
11_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_Black,static_bias_correction,False,1.0,13.21029900332226,5.800000000000001,65.3,201.50250027677617,514.2248134991015,201.50250027677617,514.2248134991015,0.0,0.0,244.73849932575348,417.54587085160534
11_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_Black,bcase_correction,False,1.0,0.13853820598006644,0.1,0.5,12.028118708673256,27.410862922487855,12.028118708673256,27.410862922487855,0.0,0.0,244.73849932575348,417.54587085160534
11_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_Black,thermal_truth_correction,False,1.0,0.09999999999999998,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,244.73849932575348,417.54587085160534
11_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_Black,thermal_plus_nonthermal_no_correction,True,0.9833887043189369,57.067229729729725,42.75,157.75,460.4033481149437,848.599595838976,244.73849932575348,417.54587085160534,289.2117009390762,499.56360327565375,460.4033481149437,848.599595838976
11_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_Black,bcase_correction_with_nonthermal,True,0.9767441860465116,19.944217687074833,14.700000000000001,50.749999999999766,290.87336905976963,500.4989691323476,12.028118708673256,27.410862922487855,289.2117009390762,499.56360327565375,460.4033481149437,848.599595838976
12_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_alodine,no_correction,False,0.9966777408637874,7.206,9.200000000000001,9.4,176.2558698088468,217.83523497599577,176.2558698088468,217.83523497599577,0.0,0.0,176.2558698088468,217.83523497599577
12_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_alodine,static_bias_correction,False,1.0,0.44019933554817275,0.4,1.5,35.901516839705934,84.41315677352594,35.901516839705934,84.41315677352594,0.0,0.0,176.2558698088468,217.83523497599577
