time_s,r_x_urad,r_y_urad,r_norm_urad,r_hat_x_urad,r_hat_y_urad,r_hat_norm_urad
3327.5,99.36271095858883,27.10759094848561,102.99402806022536,83.45120279657752,98.78962962855054,129.31934955891828
3388.0,216.74301967101636,26.75314206634033,218.38788241688772,74.22935769446765,125.59025657183051,145.88663437584486
3448.5,193.74464119026703,104.96553525680622,220.35142291733254,66.24613161202014,152.02314967001803,165.82999725366275
3509.0,174.3984892615652,101.91546537214128,201.99404728539997,59.64357398434184,177.9447343993652,187.6744106640175
3569.5,225.38752045645714,35.74200092038703,228.203911025431,54.53960439143752,203.21620550213012,210.40768670811076
3630.0,191.67115783221635,77.89173728855357,206.89358492367867,51.026099452368946,227.70465081021584,233.35181770435253
3690.5,118.67216846645888,126.46805013727581,173.42794259880992,49.16739972517976,251.28409935985732,256.04908081621824
3751.0,155.89111589919938,156.64638840855454,220.99803396804538,48.99926032202374,273.83648140662575,278.18581211353455
3811.5,234.44853815803654,156.36674911224802,281.8096472308445,50.52826191748161,295.2524892544861,299.54488422166725
3872.0,279.0634046408527,275.6654076196056,392.25986382477066,53.73169153319466,315.4323292759129,319.97601320637506
3932.5,130.5337624161604,302.4772662599297,329.44128419886755,58.55789503881366,334.28635709941864,339.37648064380767
3993.0,271.7789990512198,310.7951641987671,412.86493967715586,64.9270958353153,351.73558965157576,357.6778617711053
4053.5,140.8541391264909,233.32405311658886,272.54357866553676,72.73266679992147,367.71208953622573,374.83625973340105
4114.0,234.61220554661543,287.51025707938356,371.0862903925454,81.84283538874848,382.15921908639206,390.8246645711997
4174.5,210.28082591409324,428.10634609672695,476.9623353215679,92.10279492727008,395.0317633058176,405.6266988918731
4235.0,186.38644107172274,372.85425810045615,416.845538777884,103.33718867807315,406.29592279811226,419.2313817526752
4295.5,157.140382850165,482.6166849645226,507.55488819283545,115.35292736186582,415.9291796332669,431.62875288997407
4356.0,189.7090736408545,346.9457864756958,395.42497565898674,127.9422955146377,423.9200408954011,442.80631437945124
4416.5,238.6363378371037,410.59539506307,474.9061804012481,140.88629747479717,430.26766636455136,452.74630151438447
4477.0,241.04836983324597,338.6229944991749,415.65592622126,153.95818998155036,434.9813883830828,461.42381007276754
4537.5,296.009173799235,346.96732779794274,456.07867471802575,166.92714538990816,438.08013341955376,468.80579685507047
4598.0,400.98212449872244,430.46308952402353,588.2900097826551,179.56198741559734,439.5917561475461,474.8509443999483
4658.5,345.95474949750985,295.501472871518,454.9789106861122,191.63494014788077,439.5522979844337,479.5103470717585
4719.0,354.57799475684317,408.42339776926974,540.8652569829005,202.92533082854047,438.00518296857166,482.7289407102132
4779.5,404.8605354669978,422.7952203860127,585.3783832359043,213.22318759490136,435.00036457920567,484.4475667316044
4840.0,363.56204618728725,467.657413380575,592.3519373798799,222.33267501291908,430.59343761115707,484.6055374138782
4900.5,429.3792776806032,528.7909784105276,681.1655180276521,230.07531275741178,424.84472949904574,483.1435539501052
4961.0,384.6796005080207,417.8358970603349,567.9482651784625,236.29292619073655,417.81838554009835,480.00682314224986
5021.5,345.42212991913016,460.44287947344463,575.6075860303315,240.85028179516982,409.5814622906442,475.14822160348564
5082.0,270.94814501410815,396.9131226320493,480.575617571377,243.6373653617942,400.2030430130341,468.5313665458577
5142.5,298.17341259943464,394.1869723354028,494.25778005019237,244.57126645190144,389.7533884342842,460.1334677785273
5203.0,357.94188468873335,406.95856241108646,541.9757045608416,243.59763883742525,378.30313525598024,449.9478545250251
5263.5,375.33679157470795,377.32250216852196,532.2123427282667,240.6917132971777,365.9225538408958,437.9860913994576
5324.0,322.3374756176389,377.8146361007639,496.634017602001,235.85884619063543,352.68087531238143,424.279619045607
5384.5,210.02200423204047,345.0188072223119,403.91486677114284,229.13459453969352,338.6456969576371,408.8808756628188
5445.0,380.2288380500926,391.0659043013176,545.4415741323087,220.58431580603033,323.8824733476642,391.8638754994072
5505.5,363.84956366821973,389.5909679982859,533.0737541160654,210.30229803999515,308.4540989992741,373.32423943585144
5566.0,302.54633846095373,419.8441537225999,517.4972466894641,198.41043347824157,292.42058673396866,353.3786915744386
5626.5,289.26420375973476,244.5042990569145,378.75603207614586,185.05645586502166,275.8388441619951,332.1640555598214
5687.0,354.28503353163455,371.96529261424956,513.6886838291415,170.41176865271152,258.76254896554326,309.83580755375976
5747.5,190.62089153948742,354.44798864304755,402.4545948854491,154.66889769225682,241.24212190129396,286.56627382296153
5808.0,274.99714035008526,323.0703783240119,424.2615897664372,138.03860795209891,223.32479471783702,262.54260839169956
5868.5,219.53922486981085,379.4347345196054,438.36992257270657,120.7467291112445,205.0547685156859,237.96476773271667
5929.0,136.56499668066675,274.26329401300245,306.3826900483334,103.03073947483358,186.47345649375202,213.04385288822172
5989.5,162.8213444876709,241.25560946740612,291.05851528560777,85.13616148623395,167.61980355176235,188.00150141778522
6050.0,124.21388898277766,244.91735799474904,274.6153718628181,67.31282509795267,148.5306738769967,163.07169437098003
6110.5,202.9172717723999,247.09829286779436,319.73893338430383,49.81105736740042,129.24129645759288,138.50795697756092
6171.0,50.64310345648788,174.447887532162,181.65018412360166,32.87785782945655,109.78575745258443,114.60308056458018
6231.5,35.11244635065796,256.9270754600013,259.3152637103281,16.753119447157495,90.19752752722431,91.74018194463707
6292.0,-37.31603627023325,253.2773069222418,256.01148561090935,1.6659542505745144,70.51001164421142,70.52968981664273
6352.5,-35.02351058246627,154.6668087360431,158.58268511445965,-12.168818847120116,50.75710839721913,52.19544237748233
