time_s,temperature,femap_node_id,x_mm,y_mm,z_mm,mapped_entity_name,target_x_mm,target_y_mm,target_z_mm
9441.78,44.4353,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
9502.3,44.7305,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
9562.82,45.0097,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
9623.35,45.2736,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
9683.87,45.5227,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
9744.4,45.7579,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
9804.92,45.9799,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
9865.44,46.1895,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
9925.97,46.3875,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
9986.49,46.5748,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
10047.0,46.7522,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
10107.5,46.9202,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
10168.1,47.0795,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
10228.6,47.2306,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
10289.1,47.3741,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
10349.6,47.5113,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
10410.2,47.6424,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
10470.7,47.7678,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
10531.2,47.8884,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
10591.7,48.0044,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
10652.3,48.1167,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
10712.8,48.2258,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
10773.3,48.332,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
10833.8,48.4358,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
10894.4,48.5377,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
10954.9,48.6377,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
11015.4,48.7364,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
11075.9,48.834,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
11136.5,48.9308,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
11197.0,49.0276,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
11257.5,49.1242,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
11318.0,49.2207,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
11378.5,49.3171,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
11439.1,49.4136,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
11499.6,49.5106,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
11560.1,49.6081,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
11620.6,49.7061,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
11681.2,49.8044,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
11741.7,49.903,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
11802.2,50.0018,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
11862.7,50.1011,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
11923.3,50.2006,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
11983.8,50.3001,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
12044.3,50.399,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
12104.8,50.4972,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
12165.4,50.5946,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
12225.9,50.6912,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
12286.4,50.7869,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
